"age","job","marital","education","balance","loan","contact","day","month","poutcome","y"
49,"admin.","married","secondary",2465,"no","cellular",20,"aug","unknown","no"
46,"admin.","married","secondary",368,"no","cellular",20,"aug","other","yes"
45,"admin.","married","secondary",638,"no","cellular",20,"aug","unknown","no"
37,"admin.","single","secondary",781,"no","cellular",20,"aug","unknown","no"
53,"admin.","married","secondary",105,"yes","cellular",21,"aug","unknown","no"
49,"admin.","married","secondary",635,"no","cellular",25,"aug","unknown","no"
46,"admin.","married","secondary",22,"no","cellular",26,"aug","unknown","yes"
47,"admin.","divorced","secondary",225,"no","cellular",28,"aug","unknown","yes"
34,"admin.","married","secondary",96,"no","cellular",29,"aug","unknown","no"
58,"admin.","single","secondary",2223,"no","cellular",4,"dec","success","no"
31,"admin.","married","secondary",389,"no","cellular",7,"dec","failure","no"
60,"admin.","married","secondary",3735,"no","cellular",22,"dec","success","yes"
35,"admin.","married","tertiary",1145,"no","cellular",2,"feb","unknown","no"
31,"admin.","single","secondary",757,"no","cellular",3,"feb","unknown","no"
58,"admin.","married","secondary",1142,"no","telephone",4,"feb","unknown","no"
46,"admin.","married","primary",96,"no","telephone",4,"feb","unknown","no"
42,"admin.","single","secondary",30,"no","cellular",4,"feb","failure","no"
32,"admin.","single","secondary",678,"no","cellular",4,"feb","failure","yes"
48,"admin.","married","secondary",191,"no","cellular",5,"feb","unknown","no"
33,"admin.","single","secondary",894,"no","cellular",5,"feb","unknown","no"
34,"admin.","married","tertiary",37,"no","cellular",6,"feb","unknown","no"
28,"admin.","single","secondary",89,"yes","cellular",6,"feb","unknown","no"
56,"admin.","married","unknown",2038,"no","cellular",8,"feb","success","no"
44,"admin.","divorced","secondary",432,"no","cellular",9,"feb","unknown","no"
36,"admin.","married","secondary",0,"yes","cellular",9,"feb","unknown","no"
46,"admin.","divorced","secondary",2232,"no","cellular",13,"feb","unknown","yes"
52,"admin.","single","unknown",2227,"no","cellular",24,"feb","unknown","yes"
36,"admin.","married","secondary",725,"no","cellular",27,"feb","failure","no"
40,"admin.","divorced","secondary",212,"no","unknown",7,"jan","unknown","no"
46,"admin.","single","secondary",1693,"no","cellular",25,"jan","success","no"
61,"admin.","married","unknown",4629,"no","cellular",27,"jan","success","yes"
54,"admin.","married","secondary",0,"no","cellular",28,"jan","failure","yes"
52,"admin.","married","secondary",199,"no","cellular",28,"jan","other","no"
51,"admin.","married","secondary",2662,"no","telephone",28,"jan","unknown","no"
44,"admin.","married","secondary",2403,"no","cellular",28,"jan","unknown","no"
41,"admin.","divorced","secondary",1088,"no","cellular",28,"jan","unknown","no"
26,"admin.","single","secondary",609,"no","telephone",28,"jan","unknown","no"
46,"admin.","married","secondary",466,"no","cellular",29,"jan","unknown","no"
46,"admin.","married","secondary",179,"no","cellular",29,"jan","other","no"
35,"admin.","married","secondary",147,"yes","cellular",29,"jan","failure","no"
30,"admin.","single","secondary",1009,"no","cellular",29,"jan","unknown","no"
28,"admin.","single","secondary",775,"no","cellular",29,"jan","unknown","no"
28,"admin.","married","secondary",-97,"no","cellular",29,"jan","success","no"
27,"admin.","single","tertiary",73,"no","cellular",29,"jan","unknown","no"
60,"admin.","married","secondary",2552,"yes","cellular",30,"jan","other","no"
51,"admin.","single","tertiary",16,"no","cellular",30,"jan","unknown","no"
42,"admin.","divorced","secondary",936,"no","cellular",30,"jan","unknown","yes"
39,"admin.","single","secondary",163,"no","cellular",30,"jan","unknown","no"
32,"admin.","married","secondary",0,"no","cellular",30,"jan","unknown","no"
28,"admin.","married","secondary",12,"no","cellular",30,"jan","other","no"
26,"admin.","single","secondary",802,"no","cellular",30,"jan","other","no"
35,"admin.","married","secondary",0,"yes","unknown",4,"jul","unknown","no"
32,"admin.","single","tertiary",-59,"yes","unknown",4,"jul","unknown","no"
31,"admin.","single","secondary",144,"no","unknown",4,"jul","unknown","no"
28,"admin.","married","secondary",934,"no","unknown",4,"jul","unknown","no"
48,"admin.","married","secondary",8,"yes","cellular",7,"jul","unknown","no"
40,"admin.","single","secondary",-1,"no","cellular",7,"jul","unknown","no"
34,"admin.","single","secondary",296,"no","cellular",7,"jul","unknown","no"
31,"admin.","single","secondary",-407,"yes","cellular",7,"jul","unknown","no"
57,"admin.","married","secondary",2137,"no","telephone",8,"jul","unknown","no"
49,"admin.","married","secondary",13229,"yes","telephone",8,"jul","unknown","no"
46,"admin.","married","secondary",-121,"yes","cellular",8,"jul","unknown","no"
35,"admin.","single","secondary",57,"yes","cellular",8,"jul","unknown","no"
35,"admin.","divorced","secondary",148,"yes","cellular",8,"jul","unknown","no"
33,"admin.","single","tertiary",621,"no","cellular",8,"jul","unknown","no"
29,"admin.","single","secondary",1992,"no","cellular",8,"jul","failure","no"
44,"admin.","married","secondary",262,"no","cellular",9,"jul","unknown","no"
36,"admin.","single","secondary",47,"yes","cellular",9,"jul","unknown","no"
56,"admin.","divorced","primary",0,"yes","cellular",10,"jul","unknown","no"
47,"admin.","married","secondary",2,"no","cellular",10,"jul","unknown","no"
44,"admin.","single","secondary",-101,"no","cellular",10,"jul","unknown","no"
47,"admin.","divorced","secondary",1139,"no","cellular",11,"jul","unknown","no"
27,"admin.","single","secondary",3638,"no","cellular",11,"jul","unknown","no"
47,"admin.","single","secondary",3696,"no","cellular",12,"jul","success","yes"
57,"admin.","married","secondary",808,"no","cellular",14,"jul","unknown","no"
55,"admin.","married","primary",343,"no","cellular",14,"jul","unknown","no"
47,"admin.","married","secondary",104,"yes","cellular",14,"jul","unknown","no"
45,"admin.","married","secondary",-388,"no","cellular",14,"jul","unknown","no"
27,"admin.","married","secondary",-517,"no","cellular",14,"jul","unknown","no"
27,"admin.","married","secondary",639,"yes","cellular",14,"jul","unknown","no"
48,"admin.","married","secondary",3064,"no","telephone",15,"jul","unknown","no"
30,"admin.","married","secondary",0,"no","cellular",15,"jul","unknown","no"
45,"admin.","married","secondary",248,"no","cellular",16,"jul","unknown","no"
34,"admin.","married","secondary",396,"no","cellular",16,"jul","unknown","no"
32,"admin.","single","secondary",116,"yes","cellular",16,"jul","unknown","no"
31,"admin.","married","secondary",5,"yes","cellular",16,"jul","unknown","no"
31,"admin.","divorced","secondary",1210,"no","cellular",16,"jul","unknown","no"
27,"admin.","divorced","secondary",451,"no","cellular",16,"jul","unknown","yes"
26,"admin.","married","secondary",2469,"no","cellular",16,"jul","unknown","no"
43,"admin.","married","secondary",0,"no","cellular",17,"jul","unknown","no"
33,"admin.","married","secondary",0,"no","telephone",17,"jul","unknown","yes"
32,"admin.","married","secondary",1031,"no","cellular",17,"jul","unknown","no"
53,"admin.","married","secondary",263,"yes","cellular",18,"jul","unknown","no"
34,"admin.","divorced","secondary",-251,"no","cellular",18,"jul","unknown","yes"
31,"admin.","married","secondary",212,"no","cellular",18,"jul","unknown","no"
25,"admin.","married","secondary",18,"no","cellular",18,"jul","unknown","no"
43,"admin.","married","secondary",3215,"no","cellular",21,"jul","unknown","no"
37,"admin.","married","tertiary",0,"no","cellular",21,"jul","unknown","no"
31,"admin.","divorced","secondary",1890,"no","cellular",21,"jul","unknown","no"
27,"admin.","single","secondary",15,"yes","cellular",21,"jul","unknown","no"
45,"admin.","married","secondary",644,"yes","telephone",22,"jul","unknown","no"
41,"admin.","married","secondary",2993,"no","cellular",22,"jul","unknown","no"
37,"admin.","married","secondary",121,"no","cellular",22,"jul","unknown","no"
34,"admin.","single","secondary",1,"no","cellular",22,"jul","unknown","no"
26,"admin.","single","secondary",321,"no","cellular",22,"jul","unknown","no"
47,"admin.","divorced","secondary",136,"yes","cellular",23,"jul","unknown","no"
45,"admin.","married","secondary",295,"no","cellular",23,"jul","unknown","no"
43,"admin.","married","secondary",-465,"yes","cellular",23,"jul","unknown","no"
41,"admin.","single","tertiary",982,"no","cellular",23,"jul","unknown","no"
45,"admin.","divorced","secondary",59,"no","cellular",24,"jul","unknown","yes"
36,"admin.","single","secondary",1281,"no","telephone",24,"jul","unknown","no"
33,"admin.","married","tertiary",640,"no","cellular",24,"jul","unknown","no"
30,"admin.","married","tertiary",0,"no","cellular",24,"jul","unknown","no"
58,"admin.","married","secondary",2,"yes","telephone",25,"jul","unknown","no"
39,"admin.","divorced","secondary",2903,"yes","telephone",25,"jul","unknown","no"
35,"admin.","married","secondary",786,"yes","cellular",25,"jul","unknown","no"
33,"admin.","single","secondary",-300,"yes","cellular",25,"jul","unknown","no"
30,"admin.","single","secondary",-635,"no","cellular",25,"jul","unknown","no"
50,"admin.","divorced","secondary",769,"no","cellular",28,"jul","failure","no"
35,"admin.","married","tertiary",0,"no","cellular",28,"jul","unknown","no"
31,"admin.","married","secondary",3,"no","cellular",28,"jul","unknown","no"
49,"admin.","married","secondary",0,"yes","cellular",29,"jul","unknown","no"
48,"admin.","married","secondary",292,"yes","cellular",29,"jul","unknown","no"
31,"admin.","married","secondary",0,"no","cellular",29,"jul","unknown","no"
45,"admin.","divorced","unknown",998,"no","telephone",30,"jul","unknown","no"
39,"admin.","married","secondary",406,"no","cellular",30,"jul","unknown","no"
39,"admin.","divorced","secondary",83,"no","cellular",30,"jul","unknown","no"
26,"admin.","single","secondary",443,"no","cellular",30,"jul","unknown","no"
25,"admin.","married","secondary",242,"no","cellular",30,"jul","unknown","no"
45,"admin.","married","secondary",194,"no","cellular",31,"jul","unknown","no"
44,"admin.","married","secondary",5181,"yes","cellular",31,"jul","unknown","no"
38,"admin.","single","secondary",902,"no","telephone",31,"jul","unknown","no"
38,"admin.","married","tertiary",669,"yes","cellular",31,"jul","unknown","no"
36,"admin.","married","secondary",470,"no","cellular",31,"jul","unknown","no"
34,"admin.","married","secondary",244,"no","cellular",31,"jul","unknown","no"
28,"admin.","single","secondary",189,"no","cellular",31,"jul","unknown","no"
55,"admin.","married","secondary",602,"no","cellular",1,"jun","success","yes"
28,"admin.","single","tertiary",14,"no","cellular",1,"jun","unknown","no"
58,"admin.","married","secondary",3496,"no","unknown",2,"jun","unknown","no"
51,"admin.","married","secondary",1415,"no","unknown",2,"jun","unknown","no"
40,"admin.","single","secondary",2378,"no","unknown",2,"jun","unknown","no"
38,"admin.","married","primary",0,"no","unknown",2,"jun","unknown","no"
45,"admin.","married","secondary",204,"no","cellular",3,"jun","unknown","yes"
45,"admin.","married","secondary",-547,"no","unknown",3,"jun","unknown","no"
31,"admin.","single","secondary",2104,"no","unknown",3,"jun","unknown","no"
31,"admin.","single","secondary",1588,"no","unknown",3,"jun","unknown","no"
30,"admin.","single","secondary",3809,"no","unknown",3,"jun","unknown","no"
28,"admin.","single","secondary",1323,"no","unknown",3,"jun","unknown","no"
41,"admin.","single","secondary",400,"no","unknown",4,"jun","unknown","no"
34,"admin.","married","secondary",613,"no","cellular",4,"jun","unknown","no"
31,"admin.","married","primary",355,"yes","unknown",4,"jun","unknown","no"
27,"admin.","married","secondary",-247,"yes","unknown",4,"jun","unknown","no"
27,"admin.","divorced","secondary",76,"no","unknown",4,"jun","unknown","no"
46,"admin.","single","secondary",1790,"no","unknown",5,"jun","unknown","no"
42,"admin.","married","secondary",4209,"no","unknown",5,"jun","unknown","no"
41,"admin.","married","secondary",21515,"no","unknown",5,"jun","unknown","no"
27,"admin.","married","secondary",897,"no","cellular",5,"jun","unknown","yes"
47,"admin.","married","secondary",1060,"no","unknown",6,"jun","unknown","no"
56,"admin.","married","secondary",2146,"yes","unknown",9,"jun","unknown","no"
40,"admin.","divorced","secondary",6,"no","unknown",11,"jun","unknown","no"
52,"admin.","married","secondary",693,"no","unknown",12,"jun","unknown","no"
42,"admin.","married","secondary",3165,"no","unknown",16,"jun","unknown","no"
41,"admin.","married","tertiary",1287,"no","unknown",16,"jun","unknown","no"
30,"admin.","married","secondary",124,"no","telephone",16,"jun","unknown","no"
51,"admin.","married","secondary",2967,"no","unknown",17,"jun","unknown","no"
50,"admin.","married","primary",276,"yes","unknown",17,"jun","unknown","no"
39,"admin.","single","tertiary",2600,"no","unknown",17,"jun","unknown","no"
38,"admin.","divorced","secondary",156,"no","unknown",17,"jun","unknown","no"
43,"admin.","married","unknown",3485,"no","unknown",18,"jun","unknown","no"
40,"admin.","single","secondary",1670,"no","unknown",18,"jun","unknown","no"
52,"admin.","divorced","secondary",98,"yes","unknown",19,"jun","unknown","no"
44,"admin.","single","secondary",2524,"no","unknown",19,"jun","unknown","no"
42,"admin.","married","secondary",0,"no","unknown",19,"jun","unknown","no"
36,"admin.","married","secondary",4280,"no","unknown",19,"jun","unknown","no"
57,"admin.","divorced","unknown",887,"no","unknown",20,"jun","unknown","no"
48,"admin.","married","primary",607,"no","unknown",20,"jun","unknown","no"
45,"admin.","married","unknown",1783,"no","unknown",20,"jun","unknown","no"
41,"admin.","married","secondary",0,"no","unknown",20,"jun","unknown","no"
39,"admin.","divorced","secondary",1022,"no","unknown",20,"jun","unknown","no"
38,"admin.","married","secondary",3190,"no","unknown",20,"jun","unknown","no"
35,"admin.","single","secondary",2830,"no","unknown",20,"jun","unknown","no"
35,"admin.","married","secondary",8652,"no","unknown",24,"jun","unknown","no"
34,"admin.","married","secondary",5320,"no","cellular",3,"mar","other","no"
29,"admin.","single","secondary",1448,"no","cellular",10,"mar","other","no"
61,"admin.","married","secondary",4608,"no","cellular",12,"mar","unknown","yes"
41,"admin.","divorced","secondary",6046,"yes","telephone",15,"mar","success","yes"
53,"admin.","married","secondary",1796,"no","telephone",16,"mar","success","yes"
46,"admin.","married","secondary",70,"no","cellular",27,"mar","unknown","yes"
38,"admin.","married","tertiary",1988,"no","cellular",27,"mar","failure","yes"
26,"admin.","married","tertiary",2855,"no","cellular",30,"mar","unknown","no"
41,"admin.","married","tertiary",1536,"no","cellular",4,"may","unknown","no"
33,"admin.","married","tertiary",69,"yes","cellular",4,"may","unknown","no"
31,"admin.","married","secondary",236,"yes","telephone",4,"may","unknown","no"
66,"admin.","single","secondary",10177,"no","cellular",5,"may","unknown","no"
56,"admin.","married","secondary",45,"no","unknown",5,"may","unknown","yes"
45,"admin.","single","secondary",-11,"no","cellular",5,"may","unknown","no"
42,"admin.","single","secondary",1022,"no","unknown",5,"may","unknown","no"
37,"admin.","married","secondary",176,"no","cellular",5,"may","failure","no"
34,"admin.","married","secondary",61,"yes","unknown",5,"may","unknown","no"
32,"admin.","married","tertiary",0,"no","unknown",5,"may","unknown","no"
46,"admin.","married","primary",276,"yes","unknown",6,"may","unknown","no"
40,"admin.","single","secondary",263,"no","unknown",6,"may","unknown","no"
38,"admin.","married","secondary",46,"yes","unknown",6,"may","unknown","no"
38,"admin.","divorced","tertiary",86,"no","unknown",6,"may","unknown","no"
34,"admin.","single","primary",0,"yes","cellular",6,"may","unknown","no"
31,"admin.","married","secondary",0,"yes","unknown",6,"may","unknown","no"
28,"admin.","single","secondary",177,"yes","cellular",6,"may","unknown","no"
27,"admin.","married","secondary",710,"yes","cellular",6,"may","success","yes"
24,"admin.","married","secondary",299,"no","cellular",6,"may","failure","no"
23,"admin.","single","secondary",589,"no","cellular",6,"may","unknown","no"
53,"admin.","divorced","secondary",26,"no","cellular",7,"may","failure","no"
48,"admin.","married","secondary",5,"no","unknown",7,"may","unknown","no"
40,"admin.","married","secondary",168,"no","cellular",7,"may","failure","no"
35,"admin.","married","secondary",0,"no","cellular",7,"may","unknown","no"
35,"admin.","married","secondary",0,"no","unknown",7,"may","unknown","no"
34,"admin.","married","secondary",475,"no","unknown",7,"may","unknown","no"
33,"admin.","single","tertiary",490,"no","cellular",7,"may","failure","no"
33,"admin.","married","secondary",-6,"no","unknown",7,"may","unknown","no"
30,"admin.","single","secondary",239,"no","cellular",7,"may","unknown","no"
30,"admin.","married","tertiary",400,"no","cellular",7,"may","unknown","no"
29,"admin.","single","secondary",428,"yes","cellular",7,"may","failure","no"
29,"admin.","single","secondary",-194,"no","cellular",7,"may","unknown","no"
28,"admin.","single","secondary",26,"no","cellular",7,"may","unknown","no"
56,"admin.","divorced","unknown",789,"no","cellular",8,"may","failure","no"
51,"admin.","divorced","secondary",340,"no","unknown",8,"may","unknown","no"
48,"admin.","married","unknown",0,"no","cellular",8,"may","failure","no"
46,"admin.","married","secondary",1069,"no","unknown",8,"may","unknown","no"
45,"admin.","single","secondary",0,"no","cellular",8,"may","unknown","no"
42,"admin.","married","secondary",323,"yes","unknown",8,"may","unknown","no"
37,"admin.","married","secondary",1314,"no","cellular",8,"may","success","no"
30,"admin.","married","secondary",518,"no","cellular",8,"may","unknown","no"
29,"admin.","single","secondary",1117,"no","unknown",8,"may","unknown","no"
56,"admin.","divorced","secondary",-435,"yes","unknown",9,"may","unknown","no"
47,"admin.","divorced","secondary",162,"no","unknown",9,"may","unknown","no"
41,"admin.","single","secondary",-256,"yes","unknown",9,"may","unknown","no"
35,"admin.","divorced","tertiary",1555,"no","unknown",9,"may","unknown","no"
27,"admin.","married","secondary",1033,"no","unknown",9,"may","unknown","no"
60,"admin.","married","secondary",-396,"no","cellular",11,"may","failure","no"
45,"admin.","married","primary",542,"no","cellular",11,"may","other","no"
42,"admin.","married","secondary",-396,"no","cellular",11,"may","failure","no"
39,"admin.","single","unknown",0,"no","cellular",11,"may","unknown","no"
35,"admin.","single","secondary",847,"no","cellular",11,"may","unknown","no"
35,"admin.","married","primary",189,"no","cellular",11,"may","unknown","no"
30,"admin.","married","secondary",11,"no","cellular",11,"may","unknown","no"
59,"admin.","married","secondary",92,"no","cellular",12,"may","failure","no"
39,"admin.","single","secondary",1242,"no","unknown",12,"may","unknown","no"
39,"admin.","married","secondary",607,"no","cellular",12,"may","failure","yes"
38,"admin.","single","secondary",883,"no","cellular",12,"may","other","no"
38,"admin.","married","secondary",4196,"no","cellular",12,"may","unknown","no"
37,"admin.","married","secondary",1193,"no","cellular",12,"may","unknown","no"
34,"admin.","divorced","secondary",479,"no","cellular",12,"may","failure","yes"
32,"admin.","divorced","secondary",-18,"no","unknown",12,"may","unknown","no"
28,"admin.","single","secondary",4745,"no","telephone",12,"may","success","yes"
23,"admin.","single","secondary",5,"no","unknown",12,"may","unknown","no"
46,"admin.","single","secondary",751,"no","unknown",13,"may","unknown","no"
39,"admin.","single","secondary",14,"yes","unknown",13,"may","unknown","no"
36,"admin.","married","secondary",-423,"yes","unknown",13,"may","unknown","no"
35,"admin.","single","secondary",0,"no","cellular",13,"may","unknown","yes"
26,"admin.","single","secondary",96,"no","cellular",13,"may","other","no"
26,"admin.","divorced","secondary",-3,"no","unknown",13,"may","unknown","no"
48,"admin.","divorced","unknown",-70,"no","cellular",14,"may","unknown","no"
47,"admin.","married","secondary",1934,"yes","cellular",14,"may","failure","no"
46,"admin.","married","secondary",120,"no","unknown",14,"may","unknown","no"
42,"admin.","single","secondary",243,"no","unknown",14,"may","unknown","no"
42,"admin.","divorced","secondary",1811,"no","unknown",14,"may","unknown","no"
42,"admin.","divorced","secondary",1076,"no","unknown",14,"may","unknown","no"
41,"admin.","married","tertiary",5426,"no","unknown",14,"may","unknown","no"
36,"admin.","married","secondary",998,"no","unknown",14,"may","unknown","no"
32,"admin.","single","secondary",45,"yes","cellular",14,"may","other","no"
31,"admin.","married","secondary",0,"no","unknown",14,"may","unknown","no"
60,"admin.","divorced","secondary",174,"no","cellular",15,"may","failure","no"
59,"admin.","divorced","secondary",975,"no","unknown",15,"may","unknown","no"
57,"admin.","married","secondary",-967,"no","telephone",15,"may","unknown","no"
57,"admin.","divorced","primary",179,"no","cellular",15,"may","failure","no"
57,"admin.","divorced","primary",1,"no","unknown",15,"may","unknown","no"
55,"admin.","married","secondary",1102,"no","unknown",15,"may","unknown","no"
53,"admin.","single","secondary",1178,"no","unknown",15,"may","unknown","no"
52,"admin.","married","secondary",395,"no","unknown",15,"may","unknown","no"
49,"admin.","married","primary",169,"no","cellular",15,"may","unknown","no"
46,"admin.","married","secondary",556,"yes","unknown",15,"may","unknown","yes"
45,"admin.","married","secondary",72,"yes","cellular",15,"may","failure","no"
41,"admin.","married","primary",-306,"no","unknown",15,"may","unknown","yes"
39,"admin.","married","secondary",-650,"no","cellular",15,"may","failure","no"
38,"admin.","married","secondary",1852,"no","cellular",15,"may","unknown","no"
34,"admin.","single","secondary",6979,"no","cellular",15,"may","unknown","no"
34,"admin.","divorced","secondary",1268,"no","cellular",15,"may","unknown","no"
31,"admin.","divorced","secondary",360,"no","cellular",15,"may","other","no"
27,"admin.","single","tertiary",3672,"no","cellular",15,"may","failure","no"
27,"admin.","single","secondary",-145,"no","telephone",15,"may","unknown","no"
24,"admin.","single","secondary",926,"yes","cellular",15,"may","unknown","no"
59,"admin.","divorced","secondary",174,"no","unknown",16,"may","unknown","no"
44,"admin.","married","secondary",0,"yes","unknown",16,"may","unknown","no"
42,"admin.","married","unknown",642,"yes","unknown",16,"may","unknown","no"
42,"admin.","divorced","secondary",63,"no","unknown",16,"may","unknown","no"
30,"admin.","married","secondary",122,"no","unknown",16,"may","unknown","no"
36,"admin.","single","secondary",319,"no","cellular",18,"may","unknown","no"
33,"admin.","single","secondary",2557,"no","cellular",18,"may","unknown","no"
32,"admin.","single","secondary",92,"no","cellular",18,"may","failure","no"
32,"admin.","married","secondary",3540,"no","cellular",18,"may","failure","no"
32,"admin.","divorced","secondary",5,"yes","cellular",18,"may","other","no"
30,"admin.","single","secondary",127,"no","cellular",18,"may","other","no"
30,"admin.","married","secondary",2678,"no","cellular",18,"may","unknown","no"
29,"admin.","married","secondary",22171,"no","cellular",18,"may","failure","no"
26,"admin.","single","secondary",236,"yes","cellular",18,"may","unknown","no"
52,"admin.","single","primary",0,"no","unknown",19,"may","unknown","no"
51,"admin.","divorced","secondary",467,"no","unknown",19,"may","unknown","no"
41,"admin.","single","secondary",1020,"no","unknown",19,"may","unknown","yes"
34,"admin.","married","secondary",645,"no","unknown",19,"may","unknown","no"
29,"admin.","single","secondary",1070,"no","unknown",19,"may","other","yes"
36,"admin.","married","secondary",465,"no","unknown",20,"may","unknown","no"
34,"admin.","married","secondary",50,"no","unknown",20,"may","unknown","no"
38,"admin.","married","secondary",3732,"no","unknown",21,"may","unknown","no"
36,"admin.","married","secondary",957,"no","unknown",21,"may","unknown","no"
34,"admin.","married","secondary",1671,"no","unknown",21,"may","unknown","no"
32,"admin.","married","secondary",76,"no","unknown",21,"may","unknown","no"
31,"admin.","single","secondary",5527,"no","unknown",21,"may","unknown","no"
37,"admin.","divorced","tertiary",4303,"no","unknown",23,"may","unknown","no"
34,"admin.","married","secondary",79,"no","unknown",23,"may","unknown","no"
35,"admin.","single","secondary",1810,"no","cellular",25,"may","unknown","no"
60,"admin.","married","unknown",1088,"no","cellular",26,"may","unknown","no"
40,"admin.","married","secondary",1327,"yes","unknown",26,"may","unknown","no"
37,"admin.","married","secondary",11303,"no","cellular",26,"may","unknown","no"
32,"admin.","single","secondary",620,"no","unknown",26,"may","unknown","yes"
31,"admin.","single","secondary",747,"no","unknown",26,"may","unknown","yes"
